ID	locality	occurrenceStatus	establishmentMeans	source	countryCode	locationID
112446	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/KNWR:Herb:669	US	GADM:Kenai Peninsula
112457	Kenai National Wildlife Refuge	present	exotic	http://www.inaturalist.org/observations/1788034	US	GADM:Kenai Peninsula
112457	Kenai National Wildlife Refuge	present	exotic	http://www.inaturalist.org/observations/1789896	US	GADM:Kenai Peninsula
1127770	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/KNWR:Ento:11243	US	GADM:Kenai Peninsula
113215	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/KNWR:Herb:668	US	GADM:Kenai Peninsula
11476	Kenai National Wildlife Refuge	present	native	http://www.inaturalist.org/observations/6612338	US	GADM:Kenai Peninsula
114765	Kenai National Wildlife Refuge	present	exotic	http://www.inaturalist.org/observations/6901415	US	GADM:Kenai Peninsula
114799	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/KNWR:Herb:671	US	GADM:Kenai Peninsula
115867	Kenai National Wildlife Refuge	present	exotic	http://arctos.database.museum/guid/KNWR:Herb:6752	US	GADM:Kenai Peninsula
11627	Kenai National Wildlife Refuge	present	native	http://www.inaturalist.org/observations/3761945	US	GADM:Kenai Peninsula
116539	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/KNWR:Herb:10369	US	GADM:Kenai Peninsula
116539	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/KNWR:Herb:672	US	GADM:Kenai Peninsula
