ID	taxonID	kingdom	phylum	class	order	family	scientificName	taxonRank
633468	633468	Animalia	Arthropoda	Insecta	Coleoptera	Dytiscidae	Oreodytes laevis (Kirby, 1837)	species
15226	15226	Animalia	Arthropoda	Insecta	Coleoptera	Gyrinidae	Gyrinus maculiventris LeConte, 1868	species
15242	15242	Animalia	Arthropoda	Insecta	Coleoptera	Gyrinidae	Gyrinus minutus Fabricius, 1798	species
15241	15241	Animalia	Arthropoda	Insecta	Coleoptera	Gyrinidae	Gyrinus opacus Sahlberg, 1817	species
15222	15222	Animalia	Arthropoda	Insecta	Coleoptera	Gyrinidae	Gyrinus picipes Aubé, 1838	species
930090	930090	Animalia	Arthropoda	Insecta	Coleoptera	Leiodidae	Anisotoma globososa Hatch, 1929	species
927654	927654	Animalia	Arthropoda	Insecta	Coleoptera	Leiodidae	Catops alpinus Gyllenhal, 1827	species
927389	927389	Animalia	Arthropoda	Insecta	Coleoptera	Leiodidae	Catops basilaris Say, 1823	species
928726	928726	Animalia	Arthropoda	Insecta	Coleoptera	Leiodidae	Catops egenus (Horn, 1880)	species
927653	927653	Animalia	Arthropoda	Insecta	Coleoptera	Leiodidae	Catops luridipennis Mannerheim, 1853	species
929263	929263	Animalia	Arthropoda	Insecta	Coleoptera	Leiodidae	Leptinillus validus (Horn, 1872)	species
636876	636876	Animalia	Arthropoda	Insecta	Coleoptera	Lycidae	Dictyoptera aurora (Herbst, 1784)	species
839048	839048	Animalia	Arthropoda	Insecta	Coleoptera	Nitidulidae	Glischrochilus vittatus (Say, 1835)	species
565655	565655	Animalia	Arthropoda	Insecta	Coleoptera	Ptinidae	Ptinus raptor Sturm, 1837	species
592061	592061	Animalia	Arthropoda	Insecta	Coleoptera	Pythidae	Priognathus monilicornis (Randall, 1838)	species
593794	593794	Animalia	Arthropoda	Insecta	Coleoptera	Salpingidae	Aegialites debilis Mannerheim, 1853	species
925473	925473	Animalia	Arthropoda	Insecta	Coleoptera	Scarabaeidae	Agoliinus piceatus (Robinson, 1946)	species
919378	919378	Animalia	Arthropoda	Insecta	Coleoptera	Scarabaeidae	Caelius montana (Brown, 1931)	species
16552	16552	Animalia	Arthropoda	Insecta	Coleoptera	Scirtidae	Cyphon variabilis (Thunberg, 1785)	species
611362	611362	Animalia	Arthropoda	Insecta	Coleoptera	Silphidae	Nicrophorus investigator Zetterstedt, 1824	species
612139	612139	Animalia	Arthropoda	Insecta	Coleoptera	Silphidae	Nicrophorus vespilloides Herbst, 1783	species
584452	584452	Animalia	Arthropoda	Insecta	Coleoptera	Silvanidae	Dendrophagus cygnaei Mannerheim, 1846	species
593146	593146	Animalia	Arthropoda	Insecta	Coleoptera	Stenotrachelidae	Stenotrachelus aeneus (Fabricius, 1787)	species
9292	9292	Animalia	Arthropoda	Insecta	Coleoptera	Trachypachidae	Trachypachus holmbergi Mannerheim, 1853	species
28000	28000	Animalia	Arthropoda	Insecta	Diptera	Anisopodidae	Sylvicola fuscatus (Fabricius, 1775)	species
56237	56237	Animalia	Arthropoda	Insecta	Diptera	Anthomyiidae	Botanophila rubrigena (Schnabl, 1915)	species
59003	59003	Animalia	Arthropoda	Insecta	Diptera	Anthomyiidae	Delia alaba (Walker, 1849)	species
59049	59049	Animalia	Arthropoda	Insecta	Diptera	Anthomyiidae	Delia bucculenta (Coquillett, 1904)	species
59622	59622	Animalia	Arthropoda	Insecta	Diptera	Anthomyiidae	Delia echinata (Seguy, 1923)	species
59629	59629	Animalia	Arthropoda	Insecta	Diptera	Anthomyiidae	Delia extensa (Huckett, 1951)	species
59686	59686	Animalia	Arthropoda	Insecta	Diptera	Anthomyiidae	Delia lineariventris (Zetterstedt, 1845)	species
60708	60708	Animalia	Arthropoda	Insecta	Diptera	Anthomyiidae	Delia prostriata (Huckett, 1965)	species
56419	56419	Animalia	Arthropoda	Insecta	Diptera	Anthomyiidae	Lasiomma atricaudum (Zetterstedt, 1845)	species
48295	48295	Animalia	Arthropoda	Insecta	Diptera	Anthomyiidae	Pegomya flavoscutellata (Zetterstedt, 1838)	species
57922	57922	Animalia	Arthropoda	Insecta	Diptera	Anthomyiidae	Zaphne borealis (Malloch, 1920)	species
57945	57945	Animalia	Arthropoda	Insecta	Diptera	Anthomyiidae	Zaphne lineatocollis (Zetterstedt, 1838)	species
57992	57992	Animalia	Arthropoda	Insecta	Diptera	Anthomyiidae	Zaphne zetterstedtii (Ringdahl, 1918)	species
42310	42310	Animalia	Arthropoda	Insecta	Diptera	Anthomyzidae	Anthomyza tenuis (Loew, 1863)	species
43165	43165	Animalia	Arthropoda	Insecta	Diptera	Asteiidae	Leiomyza curvinervis (Zetterstedt, 1838)	species
21171	21171	Animalia	Arthropoda	Insecta	Diptera	Bibionidae	Bibio longipes Loew, 1864	species
60987	60987	Animalia	Arthropoda	Insecta	Diptera	Calliphoridae	Calliphora vomitoria (Linnaeus, 1758)	species
60996	60996	Animalia	Arthropoda	Insecta	Diptera	Calliphoridae	Cynomya cadaverina Robineau-Desvoidy, 1830	species
61089	61089	Animalia	Arthropoda	Insecta	Diptera	Calliphoridae	Pollenia vagabunda (Meigen, 1826)	species
50340	50340	Animalia	Arthropoda	Insecta	Diptera	Calliphoridae	Protophormia terraenovae (Robineau-desvoidy, 1830)	species
24647	24647	Animalia	Arthropoda	Insecta	Diptera	Cecidomyiidae	Dasineura serrulatae (Osten Sacken, 1862)	species
24827	24827	Animalia	Arthropoda	Insecta	Diptera	Cecidomyiidae	Iteomyia salicisverruca (Osten Sacken, 1878)	species
